Date,price,signal,position,market_return,strategy_return,position_change,commission_cost,strategy_return_after_cost,cumulative_market_return,cumulative_strategy_return,strategy_value
2022-10-03,98.170654296875,1.0,1.0,0.03125984030465356,0.03125984030465356,0.0,0.0,0.03125984030465356,-0.2412833004450965,0.04021270976760727,10402.127097676073
2022-10-04,101.15637969970705,1.0,1.0,0.030413624358690772,0.030413624358690772,0.0,0.0,0.030413624358690772,-0.21820797575016804,0.07184934837561507,10718.49348375615
2022-10-05,100.9473648071289,1.0,1.0,-0.0020662551704462295,-0.0020662551704462295,0.0,0.0,-0.0020662551704462295,-0.21982335756248783,0.06963463411759463,10696.346341175946
2022-10-06,100.93742370605467,1.0,1.0,-9.847806421914296e-05,-9.847806421914296e-05,0.0,0.0,-9.847806421914296e-05,-0.21990018784798404,0.06952929856940493,10695.29298569405
2022-10-07,98.21046447753906,1.0,1.0,-0.02701633475862175,-0.02701633475862175,0.0,0.0,-0.02701633475862175,-0.24097562551822083,0.0406345370051,10406.345370051
2022-10-10,97.39437103271484,-1.0,-1.0,-0.00830963837881915,-0.00830963837881915,2.0,0.002,-0.010309638473814053,-0.24728284359087382,0.02990597114521254,10299.059711452126
2022-10-11,96.71759796142578,1.0,1.0,-0.006948790408654482,0.006948790408654482,2.0,0.002,0.004948790313659579,-0.2525133173477593,0.03500275983919621,10350.027598391962
2022-10-12,97.09579467773438,1.0,1.0,0.003910319572446586,0.003910319572446586,0.0,0.0,0.003910319572446586,-0.24959040554244105,0.03904995138853162,10390.499513885316
2022-10-13,98.5886459350586,1.0,1.0,0.015375035162738637,0.015375035162738637,0.0,0.0,0.015375035162738637,-0.2380528316411996,0.05502538092697207,10550.253809269721
2022-10-14,96.1005401611328,0.0,0.0,-0.0252372446170398,-0.0252372446170398,1.0,0.001,-0.02623724466453725,-0.2572822787143315,0.02734442188029451,10273.444218802944
2022-10-17,99.49433135986328,1.0,1.0,0.03531500648217034,0.0,1.0,0.001,-0.0010000000474974513,-0.23105319757270537,0.026317077409617973,10263.17077409618
2022-10-18,100.29051971435548,1.0,1.0,0.008002348913853652,0.008002348913853652,0.0,0.0,0.008002348913853652,-0.22489981696349004,0.03453002475929634,10345.300247592964
2022-10-19,99.15594482421876,0.0,0.0,-0.011312882746726038,-0.011312882746726038,1.0,0.001,-0.01231288279422349,-0.23366843445114793,0.02179197781733011,10217.919778173302
2022-10-20,99.49433135986328,1.0,1.0,0.0034126701756955757,0.0,1.0,0.001,-0.0010000000474974513,-0.23105319757270526,0.020770185790980333,10207.701857909804
2022-10-21,100.64879608154295,0.0,0.0,0.01160332157521693,0.01160332157521693,1.0,0.001,0.010603321527719478,-0.2221308605499066,0.03159374027683204,10315.93740276832
2022-10-24,102.03218841552734,1.0,1.0,0.013744747953702285,0.0,1.0,0.001,-0.0010000000474974513,-0.21143924528720182,0.030562146487557174,10305.621464875572
2022-10-25,103.9828643798828,1.0,1.0,0.019118240965402933,0.019118240965402933,0.0,0.0,0.019118240965402933,-0.19636335076274258,0.05026468193392919,10502.646819339292
2022-10-26,94.47830200195312,1.0,1.0,-0.09140508327609109,-0.09140508327609109,0.0,0.0,-0.09140508327609109,-0.26981982560999296,-0.04573484878017897,9542.65151219821
2022-10-27,91.78119659423828,0.0,0.0,-0.028547352678492066,-0.028547352678492066,1.0,0.001,-0.029547352725989517,-0.2906645365671473,-0.07393085779739073,9260.691422026093
2022-10-28,95.83184051513672,1.0,1.0,0.044133701359399424,0.0,1.0,0.001,-0.0010000000474974513,-0.2593589370603706,-0.07485692698357926,9251.430730164207
2022-10-31,94.060302734375,1.0,1.0,-0.0184858995845113,-0.0184858995845113,0.0,0.0,-0.0184858995845113,-0.2730503533780383,-0.09195902893266705,9080.40971067333
2022-11-01,90.0395278930664,1.0,1.0,-0.04274677759291512,-0.04274677759291512,0.0,0.0,-0.04274677759291512,-0.3041251082434355,-0.13077485436813696,8692.25145631863
2022-11-02,86.55618286132812,1.0,1.0,-0.03868684247073362,-0.03868684247073362,0.0,0.0,-0.03868684247073362,-0.33104631056016054,-0.16440243064879734,8355.975693512026
2022-11-03,83.03302764892578,1.0,1.0,-0.04070368049902107,-0.04070368049902107,0.0,0.0,-0.04070368049902107,-0.3582751878037611,-0.19841432713742724,8015.856728625728
2022-11-04,86.16804504394531,0.0,0.0,0.037756269809584575,0.037756269809584575,1.0,0.001,0.036756269762087124,-0.33404605265097487,-0.16895102790826644,8310.489720917336
2022-11-07,88.0689468383789,0.0,0.0,0.022060402942461366,0.0,0.0,0.0,0.0,-0.31935484023133265,-0.16895102790826644,8310.489720917336
2022-11-08,88.47699737548828,1.0,1.0,0.004633307786207741,0.0,1.0,0.001,-0.0010000000474974513,-0.31620120171293187,-0.16978207691983083,8302.179230801692
2022-11-09,86.90450286865234,-1.0,-1.0,-0.017772918990033193,-0.017772918990033193,2.0,0.002,-0.019772919085028096,-0.32835430236037,-0.18619790873583508,8138.020912641649
2022-11-10,93.4930191040039,1.0,1.0,0.07581328950594735,-0.07581328950594735,2.0,0.002,-0.07781328960094225,-0.27743463263979273,-0.24952252654122598,7504.774734587741
2022-11-11,95.9512710571289,-1.0,-1.0,0.026293427858933294,0.026293427858933294,2.0,0.002,0.02429342776393839,-0.2584359122797435,-0.2312908562512923,7687.091437487077
2022-11-14,95.24462890625,1.0,1.0,-0.007364593955802579,0.007364593955802579,2.0,0.002,0.005364593860807676,-0.2638972306780083,-0.22716704389799114,7728.3295610200885
2022-11-15,97.97161102294922,-1.0,-1.0,0.028631348014210856,0.028631348014210856,2.0,0.002,0.026631347919215953,-0.24282161611532593,-0.20658546056060234,7934.145394393977
2022-11-16,98.37965393066406,0.0,0.0,0.00416490964529781,-0.00416490964529781,1.0,0.001,-0.005164909692795261,-0.2396680365610736,-0.21068337500575762,7893.166249942424
2022-11-17,97.8919906616211,1.0,1.0,-0.004956952475017484,-0.0,1.0,0.001,-0.0010000000474974513,-0.24343696596907705,-0.21147269166824234,7885.2730833175765
2022-11-18,96.96640014648438,0.0,0.0,-0.009455222116548478,-0.009455222116548478,1.0,0.001,-0.01045522216404593,-0.2505904375010093,-0.219716919859268,7802.83080140732
2022-11-21,95.14511108398438,-1.0,-1.0,-0.01878268203984712,-0.0,1.0,0.001,-0.0010000000474974513,-0.26466635903104874,-0.22049720297647024,7795.027970235297
2022-11-22,96.58821868896484,-1.0,-1.0,0.015167438332240213,-0.015167438332240213,0.0,0.0,-0.015167438332240213,-0.2535132313780305,-0.23232026358013336,7676.797364198666
2022-11-23,97.99151611328124,1.0,1.0,0.014528660362143286,-0.014528660362143286,2.0,0.002,-0.01652866045713819,-0.24266777865188804,-0.24500898128324267,7549.910187167573
2022-11-25,96.99626922607422,1.0,1.0,-0.010156459729192102,-0.010156459729192102,0.0,0.0,-0.010156459729192102,-0.2503595928596297,-0.2526770171607411,7473.229828392589
2022-11-28,95.59298706054688,1.0,1.0,-0.014467382887239144,-0.014467382887239144,0.0,0.0,-0.014467382887239144,-0.26120492765747527,-0.26348882489391035,7365.1117510608965
2022-11-29,94.73706817626952,1.0,1.0,-0.008953783228211387,-0.008953783228211387,0.0,0.0,-0.008953783228211387,-0.26781993858530095,-0.2700833863009655,7299.166136990345
2022-11-30,100.50946807861328,1.0,1.0,0.06093074245873353,0.06093074245873353,0.0,0.0,0.06093074245873353,-0.22320766382982227,-0.22560902509531877,7743.909749046812
